year,region,count
2000,Eastern Europe,13
2000,Western Europe,10
2001,Eastern Europe,14
2001,Western Europe,11
2002,Eastern Europe,7
2002,Western Europe,8
2003,Eastern Europe,8
2003,Western Europe,11
2004,Eastern Europe,3
2004,Western Europe,8
2005,Eastern Europe,5
2005,Western Europe,7
2006,Eastern Europe,7
2006,Western Europe,10
2007,Eastern Europe,7
2007,Western Europe,11
2008,Eastern Europe,12
2008,Western Europe,12
2009,Eastern Europe,11
2009,Western Europe,10
2010,Eastern Europe,7
2010,Western Europe,11
2011,Eastern Europe,8
2011,Western Europe,12
2012,Eastern Europe,8
2012,Western Europe,11
2013,Eastern Europe,9
2013,Western Europe,10
2014,Eastern Europe,9
2014,Western Europe,13
2015,Eastern Europe,11
2015,Western Europe,13
2016,Eastern Europe,10
2016,Western Europe,15
2017,Eastern Europe,9
2017,Western Europe,14
